,country,date,confirmed,death,recovered,last_confirmed,last_death,last_recovered
0,Afghanistan,1/22/20,0,0,0,0,0,0
1,Afghanistan,1/23/20,0,0,0,0,0,0
2,Afghanistan,1/24/20,0,0,0,0,0,0
3,Afghanistan,1/25/20,0,0,0,0,0,0
4,Afghanistan,1/26/20,0,0,0,0,0,0
5,Afghanistan,1/27/20,0,0,0,0,0,0
6,Afghanistan,1/28/20,0,0,0,0,0,0
7,Afghanistan,1/29/20,0,0,0,0,0,0
8,Afghanistan,1/30/20,0,0,0,0,0,0
9,Afghanistan,1/31/20,0,0,0,0,0,0
10,Afghanistan,2/1/20,0,0,0,0,0,0
11,Afghanistan,2/2/20,0,0,0,0,0,0
12,Afghanistan,2/3/20,0,0,0,0,0,0
13,Afghanistan,2/4/20,0,0,0,0,0,0
14,Afghanistan,2/5/20,0,0,0,0,0,0
15,Afghanistan,2/6/20,0,0,0,0,0,0
16,Afghanistan,2/7/20,0,0,0,0,0,0
17,Afghanistan,2/8/20,0,0,0,0,0,0
18,Afghanistan,2/9/20,0,0,0,0,0,0
19,Afghanistan,2/10/20,0,0,0,0,0,0
20,Afghanistan,2/11/20,0,0,0,0,0,0
21,Afghanistan,2/12/20,0,0,0,0,0,0
22,Afghanistan,2/13/20,0,0,0,0,0,0
23,Afghanistan,2/14/20,0,0,0,0,0,0
24,Afghanistan,2/15/20,0,0,0,0,0,0
25,Afghanistan,2/16/20,0,0,0,0,0,0
26,Afghanistan,2/17/20,0,0,0,0,0,0
27,Afghanistan,2/18/20,0,0,0,0,0,0
28,Afghanistan,2/19/20,0,0,0,0,0,0
29,Afghanistan,2/20/20,0,0,0,0,0,0
30,Afghanistan,2/21/20,0,0,0,0,0,0
31,Afghanistan,2/22/20,0,0,0,0,0,0
32,Afghanistan,2/23/20,0,0,0,0,0,0
33,Afghanistan,2/24/20,1,0,0,0,0,0
34,Afghanistan,2/25/20,1,0,0,1,0,0
35,Afghanistan,2/26/20,1,0,0,1,0,0
36,Afghanistan,2/27/20,1,0,0,1,0,0
37,Afghanistan,2/28/20,1,0,0,1,0,0
38,Afghanistan,2/29/20,1,0,0,1,0,0
39,Afghanistan,3/1/20,1,0,0,1,0,0
40,Afghanistan,3/2/20,1,0,0,1,0,0
41,Afghanistan,3/3/20,1,0,0,1,0,0
42,Afghanistan,3/4/20,1,0,0,1,0,0
43,Afghanistan,3/5/20,1,0,0,1,0,0
44,Afghanistan,3/6/20,1,0,0,1,0,0
45,Afghanistan,3/7/20,1,0,0,1,0,0
46,Afghanistan,3/8/20,4,0,0,1,0,0
47,Afghanistan,3/9/20,4,0,0,4,0,0
48,Afghanistan,3/10/20,5,0,0,4,0,0
49,Afghanistan,3/11/20,7,0,0,5,0,0
50,Afghanistan,3/12/20,7,0,0,7,0,0
51,Afghanistan,3/13/20,7,0,0,7,0,0
52,Afghanistan,3/14/20,11,0,0,7,0,0
53,Afghanistan,3/15/20,16,0,0,11,0,0
54,Afghanistan,3/16/20,21,0,1,16,0,0
55,Afghanistan,3/17/20,22,0,1,21,0,1
56,Afghanistan,3/18/20,22,0,1,22,0,1
57,Afghanistan,3/19/20,22,0,1,22,0,1
58,Afghanistan,3/20/20,24,0,1,22,0,1
59,Afghanistan,3/21/20,24,0,1,24,0,1
60,Afghanistan,3/22/20,40,1,1,24,0,1
61,Afghanistan,3/23/20,40,1,1,40,1,1
62,Afghanistan,3/24/20,74,1,1,40,1,1
63,Afghanistan,3/25/20,84,2,2,74,1,1
64,Afghanistan,3/26/20,94,4,2,84,2,2
65,Afghanistan,3/27/20,110,4,2,94,4,2
66,Afghanistan,3/28/20,110,4,2,110,4,2
67,Afghanistan,3/29/20,120,4,2,110,4,2
68,Afghanistan,3/30/20,170,4,2,120,4,2
69,Afghanistan,3/31/20,174,4,5,170,4,2
70,Afghanistan,4/1/20,237,4,5,174,4,5
71,Afghanistan,4/2/20,273,6,10,237,4,5
72,Afghanistan,4/3/20,281,6,10,273,6,10
73,Afghanistan,4/4/20,299,7,10,281,6,10
74,Afghanistan,4/5/20,349,7,15,299,7,10
75,Afghanistan,4/6/20,367,11,18,349,7,15
76,Afghanistan,4/7/20,423,14,18,367,11,18
77,Afghanistan,4/8/20,444,14,29,423,14,18
78,Afghanistan,4/9/20,484,15,32,444,14,29
79,Afghanistan,4/10/20,521,15,32,484,15,32
